n_snp,var_cos,cache_pool_cos,ref_pool_cos,cache_relerr,ref_relerr
2,0.9999995231628418,0.9999995827674866,0.9999992847442627,0.0010167077416554093,0.0011719788890331984
1,1.0,0.9999997019767761,0.9999996423721313,0.0007075162138789892,0.0007869967957958579
1,0.9999999403953552,0.9999998211860657,0.9999995231628418,0.000940613797865808,0.001099707093089819
1,1.0,0.9999988079071045,0.9999986886978149,0.0014884024858474731,0.0017969624605029821
1,1.0,0.9999987483024597,0.9999982714653015,0.0015908204950392246,0.001866258098743856
1,1.0,0.9999985098838806,0.9999982714653015,0.0017337760655209422,0.0018698993371799588
1,1.0,1.0,0.9999998211860657,0.00022032424749340862,0.0002479355316609144
1,1.0,0.9999971389770508,0.9999969005584717,0.002526006195694208,0.0025505865924060345
1,1.0,0.9999988675117493,0.9999986290931702,0.0015876153483986855,0.001713190576992929
1,0.9999998807907104,0.9999973177909851,0.9999969005584717,0.0023189103230834007,0.002536569256335497
2,0.9999991655349731,0.9999980330467224,0.9999979734420776,0.002083458472043276,0.002094837138429284
1,0.9999998807907104,0.9999985098838806,0.9999985694885254,0.001855033333413303,0.001816923962906003
1,0.9999998807907104,0.9999996423721313,0.9999997019767761,0.000731217151042074,0.0007944093667902052
1,1.0,0.9999988675117493,0.9999986290931702,0.0015119616873562336,0.001632990431971848
1,1.0,0.9999997615814209,0.9999992847442627,0.0009300296078436077,0.0012843862641602755
1,1.0,0.9999990463256836,0.9999986886978149,0.0013713156804442406,0.0016528447158634663
1,1.0000001192092896,0.999997079372406,0.9999968409538269,0.0027320855297148228,0.002747324528172612
1,0.9999998807907104,0.9999991655349731,0.9999990463256836,0.0014326008968055248,0.0015745545970275998
1,0.9999999403953552,0.9999988079071045,0.9999988079071045,0.0015490972436964512,0.001555504510179162
1,0.9999999403953552,0.9999997019767761,0.9999997019767761,0.0007510045543313026,0.0008643235196359456
1,0.9999999403953552,0.9999998807907104,0.9999997019767761,0.0006292170728556812,0.0008731567650102079
1,1.0,0.9999954104423523,0.9999953508377075,0.0030959618743509054,0.0031725652515888214
1,1.0,0.9999983310699463,0.999998152256012,0.0024582534097135067,0.0025738440454006195
1,0.9999998807907104,0.9999990463256836,0.9999991655349731,0.0017327695386484265,0.0017000088701024652
1,1.0000001192092896,0.9999988675117493,0.999998927116394,0.0014770887792110443,0.0015240932116284966
1,1.0,0.9999541640281677,0.999949038028717,0.02267192117869854,0.022874148562550545
1,0.9999999403953552,0.9999992251396179,0.9999992847442627,0.0015203116927295923,0.0015002830186858773
2,0.9999830722808838,0.9999927878379822,0.9999914765357971,0.004022120963782072,0.004698830656707287
1,1.0000001192092896,0.999997615814209,0.9999972581863403,0.002244414994493127,0.0023200290743261576
1,0.9999999403953552,0.9999974966049194,0.9999963045120239,0.0024107894860208035,0.003014909802004695
1,1.0000001192092896,0.999998152256012,0.9999980330467224,0.001913229702040553,0.0019699602853506804
2,0.9999911785125732,0.9999974966049194,0.9999974966049194,0.0022638312075287104,0.0022828758228570223
1,0.9999998807907104,0.9999969601631165,0.9999964833259583,0.0027612915728241205,0.002988613210618496
1,1.0000001192092896,0.9999967813491821,0.9999966025352478,0.0026311492547392845,0.0026535913348197937
2,0.9999983310699463,0.9999987483024597,0.9999988079071045,0.0015453955857083201,0.0015568523667752743
1,0.9999998807907104,1.0,1.0,7.559425307945844e-10,0.00027739774668589234
1,1.0,0.9999985694885254,0.9999985098838806,0.0016594498883932829,0.001715259742923081
2,0.9999949336051941,0.9999986886978149,0.9999983906745911,0.0016572028398513794,0.0017772960709407926
1,1.0,0.9999995827674866,0.999999463558197,0.00100271450355649,0.001037397887557745
2,0.9999518394470215,0.9999980926513672,0.9999979734420776,0.0018766543362289667,0.002003009896725416
1,1.0000001192092896,0.9999989867210388,0.999998927116394,0.001973796170204878,0.002109426073729992
1,0.9999998807907104,0.999998927116394,0.9999982118606567,0.0016591522144153714,0.0018913201056420803
2,0.9999983906745911,0.9999987483024597,0.9999984502792358,0.001650571241043508,0.0019180497620254755
