n_snp,diff_norm,ref_norm,rel_diff
0,0.06168254092335701,110.84341430664062,0.0005564835882149619
2,0.15988187491893768,113.95088195800781,0.001403077116839306
0,0.03275434300303459,114.09214782714844,0.0002870867419610505
0,0.0613597147166729,116.11416625976562,0.0005284429686159188
0,0.0691659227013588,86.9474105834961,0.0007954914613004877
0,0.0888543576002121,112.38451385498047,0.0007906281261746491
0,0.08727225661277771,113.59056091308594,0.0007683055344673776
1,0.24688489735126495,111.43647766113281,0.002215476498656187
1,0.444548100233078,116.5475082397461,0.003814308061555572
4,0.4803369343280792,114.46866607666016,0.0041962307310054224
1,0.17530420422554016,103.75369262695312,0.0016896189406563795
0,0.06462752819061279,114.11224365234375,0.0005663505170182097
1,0.29158517718315125,110.9725112915039,0.0026275441890038142
0,0.12344766408205032,113.01028442382812,0.0010923577859434312
0,0.06390150636434555,109.74085998535156,0.0005822945653321403
0,0.3397772014141083,93.52408599853516,0.0036330448759416918
1,0.3303823173046112,111.65174865722656,0.0029590429283726898
0,0.07863755524158478,116.53456115722656,0.0006748002863758868
0,0.09698821604251862,113.4223861694336,0.000855106468114988
1,0.08617589622735977,99.93482971191406,0.000862320939313974
1,0.1612289845943451,90.35460662841797,0.001784402484949074
0,0.1281556487083435,110.0028076171875,0.0011650216161239115
0,0.07045956701040268,111.6168212890625,0.0006312629780768279
0,0.06134745106101036,114.8510971069336,0.0005341477147918929
0,0.1030842736363411,108.07157135009766,0.0009538518997045003
0,0.081512950360775,104.93682098388672,0.0007767812060295927
1,0.09599240124225616,114.90867614746094,0.000835379924828916
2,0.6602950096130371,115.89945220947266,0.00569713658714834
1,0.3818984031677246,112.69275665283203,0.00338884604930043
0,0.11413834989070892,116.04946899414062,0.0009835318582670275
0,0.09459032863378525,114.41941833496094,0.0008266982126833894
1,0.31319934129714966,102.79692077636719,0.0030467774611508945
0,0.11285113543272018,112.48160552978516,0.0010032852474072943
1,0.10731513798236847,91.67062377929688,0.0011706600605308065
0,0.135695219039917,113.25752258300781,0.0011981121955097008
0,0.12922348082065582,100.57061004638672,0.001284903022473995
1,0.4111616015434265,109.69853973388672,0.003748104601399863
0,0.06948886811733246,115.07603454589844,0.0006038517784484189
1,0.14874812960624695,112.15084075927734,0.0013263220195158653
0,0.05559583008289337,110.09044647216797,0.0005050014044311155
1,0.2176017016172409,101.56314086914062,0.002142526311761179
2,0.21524924039840698,106.9117202758789,0.0020133362351945137
0,0.09202535450458527,115.05086517333984,0.000799866688233387
0,0.08435628563165665,110.7178955078125,0.0007619028996600128
0,0.10464013367891312,115.22723388671875,0.0009081198094348604
1,0.5207935571670532,114.45335388183594,0.0045502690790934055
1,0.08352366089820862,103.32435607910156,0.0008083637204984445
1,0.1489453911781311,113.7513656616211,0.001309394311987449
0,0.06123819947242737,114.78557586669922,0.0005335008254307444
1,0.3845306932926178,113.29827117919922,0.0033939678804491323
0,0.1271323561668396,107.37337493896484,0.0011840212365412425
0,0.10497909039258957,112.003662109375,0.0009372826603658216
2,0.15490373969078064,111.7464599609375,0.0013862071312588278
0,0.11960948258638382,111.96653747558594,0.0010682609758515076
1,0.7499856352806091,115.04053497314453,0.006519316304080891
1,0.18545104563236237,104.56916046142578,0.0017734774269395886
1,0.29735881090164185,114.26934051513672,0.002602262422808436
1,0.2142208218574524,114.68456268310547,0.0018679133167153795
1,0.13611836731433868,96.53627014160156,0.0014100230629863493
1,0.270088791847229,114.19566345214844,0.0023651405288293167
1,0.4709807336330414,114.93120574951172,0.004097936070204695
0,0.11251409351825714,86.77305603027344,0.0012966478151812833
1,0.1508679986000061,103.54718780517578,0.0014569975467017464
0,0.07634677737951279,103.2084732055664,0.0007397336188420151
1,0.4199179708957672,104.02962493896484,0.004036522972587251
1,0.08989151567220688,115.39205932617188,0.0007790095453458879
1,0.19021444022655487,106.64385986328125,0.0017836417443105692
